ac_number,constituency,winner_2026,winning_party_2026,winner_votes_2026,total_votes_polled_2026,total_electors_2026,turnout_2026,reserved,region,winner_2021,winning_party_2021,winner_votes_2021,total_votes_polled_2021,total_electors_2021,turnout_2021,turnout_delta,seat_flipped,winner_vote_share_2026,winner_vote_share_2021,margin_2021,margin_2026
215,Tiruchendur,ANITHA R. RADHAKRISHNAN,DMK,72723,186050,232933,79.87,GEN,South,Anitha R. Radhakrishnan,DMK,88274,174536,249195,70.04,9.829999999999998,False,39.09,50.58,25263,5872
216,Srivaikuntam,SARAVANAN. G,TVK,58814,176421,214268,82.34,GEN,South,Amirtharaj .S,INC,76843,164386,227241,72.34,10.0,True,33.34,46.75,17372,1186
217,Ottapidaram,P .MATHANRAJA,TVK,81625,196117,243756,80.46,SC,South,SHUNMUGAIAH C,DMK,73110,177840,254712,69.82,10.64,True,41.62,41.11,8510,29083
218,Kovilpatti,KARUNANITHI.K,DMK,61643,194232,241660,80.37,GEN,South,KADAMBUR RAJU,AIADMK,68556,180928,268320,67.43,12.939999999999998,True,31.74,37.89,12403,843
219,Sankarankovil,DR. DHILIPAN JAISHANKAR,AIADMK,64865,196480,238082,82.53,SC,South,RAJA E,DMK,71347,183338,256489,71.48,11.049999999999997,True,33.01,38.92,5297,6489
220,Vasudevanallur,E. RAJA,DMK,63045,189795,228557,83.04,SC,South,"SADHAN THIRUMALAIKUMAR, DOCTOR.T",DMK,68730,175881,244721,71.87,11.170000000000002,False,33.22,39.08,2367,6583
221,Kadayanallur,RAJENDRAN. T. M,DMK,79832,221951,269220,82.44,GEN,South,C.KRISHNAMURALI,AIADMK,88474,205374,291932,70.35,12.090000000000003,True,35.97,43.08,24349,6253
222,Tenkasi,DR.KALAI KATHIRAVAN,DMK,79699,234987,281624,83.44,GEN,South,PALANI NADAR.S,INC,89315,214108,295729,72.4,11.039999999999992,True,33.92,41.71,370,10299
223,Alangulam,PAUL MANOJ PANDIAN,DMK,69170,220857,255457,86.46,GEN,South,PAUL MANOJ PANDIAN,AIADMK,74153,203478,262891,77.4,9.059999999999988,True,31.32,36.44,3539,7798
224,Tirunelveli,MURUGHAN.R.S.,TVK,75840,218425,275857,79.18,GEN,South,Nainar Nagenthran,BJP,92282,197587,295303,66.91,12.27000000000001,True,34.72,46.7,23107,11414
